date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:52	867/867	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:0f34ff107fe47657d12524d1be05fa7d%22	https://rif1bc-pe.myshopify.com/robots.txt		(from )
21:31:00	8482405/8482405	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:20e66d577b9d384028302fea824f4c26%22	https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional	C:/Users/Asus/Downloads/MALETINHA/rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional.html	(from )
21:31:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Aug%202025%2001:31:01%20GMT	http://rif1bc-pe.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=145227305158328575881755557082	C:/Users/Asus/Downloads/MALETINHA/rif1bc-pe.myshopify.com/cdn/shop/t/2/assets/favicon.17777.delayed	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:02	24118/24118	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Aug%202025%2023:18:22%20GMT	https://rif1bc-pe.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=145227305158328575881755557082	C:/Users/Asus/Downloads/MALETINHA/rif1bc-pe.myshopify.com/cdn/shop/t/2/assets/favicon7777.png	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:02	61061/61061	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/Asus/Downloads/MALETINHA/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:03	112/112	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Aug%202025%2001:31:02%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/Asus/Downloads/MALETINHA/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:03	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/Asus/Downloads/MALETINHA/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:03	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/Asus/Downloads/MALETINHA/code.jquery.com/jquery-3.6.4.min.js	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:04	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/Asus/Downloads/MALETINHA/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:05	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/Asus/Downloads/MALETINHA/code.jquery.com/jquery-3.6.0.min.js	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
21:31:05	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Asus/Downloads/MALETINHA/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://rif1bc-pe.myshopify.com/products/parafusadeira-10-em-1-com-2-baterias-lixadeira-profissional)
